,Home Team Probability of Loss,Home Team Probability of Win,Home Team Name,Away Team Name,Match Results
0,0.666666667,0.333333333,Arsenal,Bournemouth,Arsenal Lost
0,0.422222222,0.577777778,Arsenal,Chelsea,Arsenal Won
0,0.422222222,0.577777778,Arsenal,Crystal Palace,Arsenal Won
0,0.4,0.6,Arsenal,Everton,Arsenal Won
0,0.4,0.6,Arsenal,Leicester City,Arsenal Won
0,0.377777778,0.622222222,Arsenal,Liverpool,Arsenal Won
0,0.711111111,0.288888889,Arsenal,Manchester City,Arsenal Lost
0,0.422222222,0.577777778,Arsenal,Manchester United,Arsenal Won
0,0.4,0.6,Arsenal,Southampton,Arsenal Won
0,0.4,0.6,Arsenal,Stoke City,Arsenal Won
0,0.644444444,0.355555556,Arsenal,Swansea City,Arsenal Lost
0,0.422222222,0.577777778,Arsenal,Tottenham,Arsenal Won
0,0.377777778,0.622222222,Arsenal,Watford,Arsenal Won
0,0.4,0.6,Arsenal,West Bromwich,Arsenal Won
0,0.377777778,0.622222222,Arsenal,West Ham United,Arsenal Won
0,0.733333333,0.266666667,Bournemouth,Arsenal,Bournemouth Lost
0,0.466666667,0.533333333,Bournemouth,Chelsea,Bournemouth Won
0,0.511111111,0.488888889,Bournemouth,Crystal Palace,Bournemouth Lost
0,0.488888889,0.511111111,Bournemouth,Everton,Bournemouth Won
0,0.511111111,0.488888889,Bournemouth,Leicester City,Bournemouth Lost
0,0.533333333,0.466666667,Bournemouth,Liverpool,Bournemouth Lost
0,0.733333333,0.266666667,Bournemouth,Manchester City,Bournemouth Lost
0,0.533333333,0.466666667,Bournemouth,Manchester United,Bournemouth Lost
0,0.466666667,0.533333333,Bournemouth,Southampton,Bournemouth Won
0,0.466666667,0.533333333,Bournemouth,Stoke City,Bournemouth Won
0,0.688888889,0.311111111,Bournemouth,Swansea City,Bournemouth Lost
0,0.511111111,0.488888889,Bournemouth,Tottenham,Bournemouth Lost
0,0.466666667,0.533333333,Bournemouth,Watford,Bournemouth Won
0,0.466666667,0.533333333,Bournemouth,West Bromwich,Bournemouth Won
0,0.488888889,0.511111111,Bournemouth,West Ham United,Bournemouth Won
0,0.755555556,0.244444444,Chelsea,Arsenal,Chelsea Lost
0,0.711111111,0.288888889,Chelsea,Bournemouth,Chelsea Lost
0,0.488888889,0.511111111,Chelsea,Crystal Palace,Chelsea Won
0,0.444444444,0.555555556,Chelsea,Everton,Chelsea Won
0,0.466666667,0.533333333,Chelsea,Leicester City,Chelsea Won
0,0.466666667,0.533333333,Chelsea,Liverpool,Chelsea Won
0,0.755555556,0.244444444,Chelsea,Manchester City,Chelsea Lost
0,0.511111111,0.488888889,Chelsea,Manchester United,Chelsea Lost
0,0.4,0.6,Chelsea,Southampton,Chelsea Won
0,0.4,0.6,Chelsea,Stoke City,Chelsea Won
0,0.711111111,0.288888889,Chelsea,Swansea City,Chelsea Lost
0,0.444444444,0.555555556,Chelsea,Tottenham,Chelsea Won
0,0.422222222,0.577777778,Chelsea,Watford,Chelsea Won
0,0.4,0.6,Chelsea,West Bromwich,Chelsea Won
0,0.422222222,0.577777778,Chelsea,West Ham United,Chelsea Won
0,0.755555556,0.244444444,Crystal Palace,Arsenal,Crystal Palace Lost
0,0.755555556,0.244444444,Crystal Palace,Bournemouth,Crystal Palace Lost
0,0.422222222,0.577777778,Crystal Palace,Chelsea,Crystal Palace Won
0,0.444444444,0.555555556,Crystal Palace,Everton,Crystal Palace Won
0,0.422222222,0.577777778,Crystal Palace,Leicester City,Crystal Palace Won
0,0.422222222,0.577777778,Crystal Palace,Liverpool,Crystal Palace Won
0,0.755555556,0.244444444,Crystal Palace,Manchester City,Crystal Palace Lost
0,0.444444444,0.555555556,Crystal Palace,Manchester United,Crystal Palace Won
0,0.4,0.6,Crystal Palace,Southampton,Crystal Palace Won
0,0.4,0.6,Crystal Palace,Stoke City,Crystal Palace Won
0,0.733333333,0.266666667,Crystal Palace,Swansea City,Crystal Palace Lost
0,0.4,0.6,Crystal Palace,Tottenham,Crystal Palace Won
0,0.422222222,0.577777778,Crystal Palace,Watford,Crystal Palace Won
0,0.4,0.6,Crystal Palace,West Bromwich,Crystal Palace Won
0,0.422222222,0.577777778,Crystal Palace,West Ham United,Crystal Palace Won
0,0.822222222,0.177777778,Everton,Arsenal,Everton Lost
0,0.8,0.2,Everton,Bournemouth,Everton Lost
0,0.511111111,0.488888889,Everton,Chelsea,Everton Lost
0,0.555555556,0.444444444,Everton,Crystal Palace,Everton Lost
0,0.533333333,0.466666667,Everton,Leicester City,Everton Lost
0,0.533333333,0.466666667,Everton,Liverpool,Everton Lost
0,0.822222222,0.177777778,Everton,Manchester City,Everton Lost
0,0.577777778,0.422222222,Everton,Manchester United,Everton Lost
0,0.488888889,0.511111111,Everton,Southampton,Everton Won
0,0.488888889,0.511111111,Everton,Stoke City,Everton Won
0,0.777777778,0.222222222,Everton,Swansea City,Everton Lost
0,0.511111111,0.488888889,Everton,Tottenham,Everton Lost
0,0.533333333,0.466666667,Everton,Watford,Everton Lost
0,0.488888889,0.511111111,Everton,West Bromwich,Everton Won
0,0.533333333,0.466666667,Everton,West Ham United,Everton Lost
0,0.755555556,0.244444444,Leicester City,Arsenal,Leicester City Lost
0,0.755555556,0.244444444,Leicester City,Bournemouth,Leicester City Lost
0,0.444444444,0.555555556,Leicester City,Chelsea,Leicester City Won
0,0.444444444,0.555555556,Leicester City,Crystal Palace,Leicester City Won
0,0.444444444,0.555555556,Leicester City,Everton,Leicester City Won
0,0.4,0.6,Leicester City,Liverpool,Leicester City Won
0,0.755555556,0.244444444,Leicester City,Manchester City,Leicester City Lost
0,0.422222222,0.577777778,Leicester City,Manchester United,Leicester City Won
0,0.422222222,0.577777778,Leicester City,Southampton,Leicester City Won
0,0.422222222,0.577777778,Leicester City,Stoke City,Leicester City Won
0,0.733333333,0.266666667,Leicester City,Swansea City,Leicester City Lost
0,0.422222222,0.577777778,Leicester City,Tottenham,Leicester City Won
0,0.422222222,0.577777778,Leicester City,Watford,Leicester City Won
0,0.422222222,0.577777778,Leicester City,West Bromwich,Leicester City Won
0,0.422222222,0.577777778,Leicester City,West Ham United,Leicester City Won
0,0.755555556,0.244444444,Liverpool,Arsenal,Liverpool Lost
0,0.755555556,0.244444444,Liverpool,Bournemouth,Liverpool Lost
0,0.444444444,0.555555556,Liverpool,Chelsea,Liverpool Won
0,0.444444444,0.555555556,Liverpool,Crystal Palace,Liverpool Won
0,0.444444444,0.555555556,Liverpool,Everton,Liverpool Won
0,0.422222222,0.577777778,Liverpool,Leicester City,Liverpool Won
0,0.755555556,0.244444444,Liverpool,Manchester City,Liverpool Lost
0,0.422222222,0.577777778,Liverpool,Manchester United,Liverpool Won
0,0.422222222,0.577777778,Liverpool,Southampton,Liverpool Won
0,0.422222222,0.577777778,Liverpool,Stoke City,Liverpool Won
0,0.755555556,0.244444444,Liverpool,Swansea City,Liverpool Lost
0,0.422222222,0.577777778,Liverpool,Tottenham,Liverpool Won
0,0.422222222,0.577777778,Liverpool,Watford,Liverpool Won
0,0.422222222,0.577777778,Liverpool,West Bromwich,Liverpool Won
0,0.422222222,0.577777778,Liverpool,West Ham United,Liverpool Won
0,0.711111111,0.288888889,Manchester City,Arsenal,Manchester City Lost
0,0.666666667,0.333333333,Manchester City,Bournemouth,Manchester City Lost
0,0.422222222,0.577777778,Manchester City,Chelsea,Manchester City Won
0,0.422222222,0.577777778,Manchester City,Crystal Palace,Manchester City Won
0,0.4,0.6,Manchester City,Everton,Manchester City Won
0,0.4,0.6,Manchester City,Leicester City,Manchester City Won
0,0.377777778,0.622222222,Manchester City,Liverpool,Manchester City Won
0,0.422222222,0.577777778,Manchester City,Manchester United,Manchester City Won
